Product (15),Product Line Code,Description Full,Whse 5 Primary Bin,Whse 05 Secondary Bin
P10404,PPSU,1/2 PPSU F1807 PEX Tee,D06-01BR,
P10405,PPSU,3/4 PPSU F1807 PEX Tee,D06-01CL,
P10406,PPSU,1 PPSU F1807 PEX Tee,D06-02AM,
P10407,PPSU,1/2x1/2x3/4 PPSU F1807 PEX Tee,D06-02BR,
P10408,PPSU,3/4x1/2x1/2 PPSU F1807 PEX Tee,D06-02AR,
P10409,PPSU,3/4x1/2x3/4 PPSU F1807 PEX Tee,D06-02BR,
P10410,PPSU,3/4x3/4x1/2 PPSU F1807 PEX Tee,D06-01CM,D06-01CR
P10411,PPSU,1x3/4x3/4 PPSU F1807 PEX Tee,D06-02BR,
P10412,PPSU,1x1x1/2 PPSU F1807 PEX Tee,D06-02AL,
P10413,PPSU,1x1x3/4 PPSU F1807 PEX Tee,D06-02AL,
P10414,PPSU,1/2 PPSU F1807 PEX CPLG,D06-02BM,
P10415,PPSU,3/4 PPSU F1807 PEX CPLG,D06-02BL,
P10416,PPSU,1 PPSU F1807 PEX CPLG,D06-02BL,
P10417,PPSU,3/4x1/2 PPSU F1807 PEX Red. CPLG,D06-02BR,
P10418,PPSU,1/2 PPSU F1807 PEX 90 Elbow,D06-01AL,D06-01AM
P10419,PPSU,3/4x1/2 PPSU F1807 PEX 90 Elbow,D06-02AM,
P10420,PPSU,3/4 PPSU F1807 PEX 90 Elbow,D06-01AR,D06-01BL
P10421,PPSU,1 PPSU F1807 PEX 90 Elbow,D06-01BM,
P10422,PPSU,1/2 PPSU F1807 PEX Plug,D06-02AM,
P10423,PPSU,3/4 PPSU F1807 PEX Plug,D06-02BL,
P10424,PPSU,1 PPSU F1807 PEX Plug,D06-02BM,
P11221,PPSU,3/4x3/4x1 PPSU F1807 PEX Tee,D06-02CR,
P11332,PPSU,1x3/4 PPSU F1807 PEX Red. CPLG,D06-02AR,
P11454,PPSU,1x1/2 PPSU F1807 PEX CPLG,D06-02BM,
P11495,PPSU,1x3/4x1 PPSU F1807 PEX Tee,D06-02CR,
P13300,PUSH,1/2 Push CPLG,D10-01AR,
P13301,PUSH,3/4 Push CPLG,D10-01AL,
P13302,PUSH,1 Push CPLG,D10-01BR,
P13303,PUSH,1x3/4 Push Red. CPLG,D10-01AR,
P13304,PUSH,3/4x1/2 Push Red. CPLG,D10-01BR,
P13305,PUSH,3/4 Push Repair CPLG,D10-01AL,
P13306,PUSH,1/2 Push Repair CPLG,D10-01BR,
P13307,PUSH,1/2 Push x Fem ADPT,D10-01AR,
P13308,PUSH,3/4 Push x Fem ADPT,D10-01AL,
P13309,PUSH,1 Push x Fem ADPT,D10-01BR,
P13310,PUSH,1x3/4 Push x Fem ADPT,D10-01BR,
P13311,PUSH,1/2x3/4 Push x Fem ADPT,D10-01AR,
P13312,PUSH,1/2 Push x Male ADPT,D10-01BR,
P13313,PUSH,3/4 Push x Male ADPT,D10-01AR,
P13314,PUSH,1 Push x Male ADPT,D10-01BR,
P13315,PUSH,1x3/4 Push x Male ADPT,D10-01BR,
P13316,PUSH,1/2x3/4 Push x Male ADPT,D10-01BR,
P13317,PUSH,1/2 Push 90 Elbow,D10-01AL,
P13318,PUSH,3/4 Push 90 Elbow,D10-01AR,
P13319,PUSH,1 Push 90 Elbow,D10-01AL,
P13320,PUSH,1/2 Push x Fem Elbow,D10-01BR,
P13321,PUSH,3/4 Push x Fem Elbow,D10-01BR,
P13324,PUSH,1/2 Push x Male Elbow,D10-01BR,
P13325,PUSH,3/4 Push x Male Elbow,D10-01BR,
P13326,PUSH,3/4x1/2 Push 90 Elbow,D10-01AL,
P13327,PUSH,1/2 Push Drop Ear Elbow (PXFIP),D10-01BR,
P13328,PUSH,1/2 Push Tee,D10-01AL,
P13329,PUSH,3/4 Push Tee,D10-01AR,
P13330,PUSH,1 Push Tee,D10-01AL,
P13331,PUSH,3/4x1/2x1/2 Push Tee,D10-01BR,
P13332,PUSH,3/4x1/2x3/4 Push Tee,D10-01BR,
P13333,PUSH,3/4x3/4x1/2 Push Tee,D10-01AR,
P13334,PUSH,1x1x3/4 Push Tee,D10-01BR,
P13335,PUSH,3/4 Push Slip Tee,D10-01BR,
P13336,PUSH,1/2 Push Slip Tee,D10-01BR,
P13337,PUSH,1/2 Push End Stop,D10-01AR,
P13338,PUSH,3/4 Push End Stop,D10-01AR,
P13339,PUSH,1 Push End Stop,D10-01AL,
P13343,PUSH,1 Push Slip Clip Release Tool,D10-01BR,
P13344,PUSH,3/4 Push Slip Clip Release Tool,D10-01BR,
P13345,PUSH,1/2 Push Slip Clip Release Tool,D10-01BR,
P12330,PPSU,1x3/4 PPSU F1807 PEX 90 Elbow,D06-02CR,
P12332,PPSU,1x1/2x1 PPSU F1807 PEX Tee,D06-02CR,
P12526,PUSH,1 Push Transition CPLG,D10-01BR,
P12920,PUSH,1 Push 90 Elbow (Copper),D10-01BL,
P13061,EPEXFT,1 Brass F1960 EXPN PEX Drop Ear Elbow PEXxFIP,D04-05BR,
P13073,PUSH,1/2 Push Transition CPLG,D10-01BR,
P13074,PUSH,3/4 Push Transition CPLG,D10-01BR,
P13271,PUSH,1/2 Push Drop Ear Elbow (PXP),D10-01BR,
P13322,PUSH,3/4 Push x Fem Slip Tee,D10-01BR,
P13323,PUSH,1/2 Push x Fem Slip Tee,D10-01BR,
P13351,PUSH,1/2 Push CPLG (Copper),D10-01BL,
P13352,PUSH,3/4 Push CPLG (Copper),D10-01BL,
P13353,PUSH,3/4X1/2 Push Red. CPLG (Copper),D10-01BL,
P13354,PUSH,3/4 Push Repair CPLG (Copper),D10-01BL,
P13355,PUSH,1/2 Push Repair CPLG (Copper),D10-01BL,
P13356,PUSH,1/2 Push x Fem ADPT (Copper),D10-01BL,
P13357,PUSH,3/4 Push x Fem ADPT (Copper),D10-01BL,
P13358,PUSH,1/2x3/4 Push Fem ADPT (Copper),D10-01BL,
P13359,PUSH,1/2 Push x Male ADPT (Copper),D10-01BL,
P13360,PUSH,3/4 Push x Male ADPT (Copper),D10-01BL,
P13361,PUSH,1/2x3/4 Push x Male ADPT (Copper),D10-01BL,
P13362,PUSH,1/2 Push Elbow (Copper),D10-01BL,
P13363,PUSH,3/4 Push Elbow (Copper),D10-01BL,
P13364,PUSH,1/2 Push x Fem Elbow (Copper),D10-01BL,
P13365,PUSH,1/2 Push x Male Elbow (Copper),D10-01BL,
P13366,PUSH,3/4x1/2 Push Elbow (Copper),D10-01BL,
P13367,PUSH,1/2 Push Tee (Copper),D10-01BL,
P13368,PUSH,3/4 Push Tee (Copper),D10-01BL,
P13369,PUSH,3/4x3/4x1/2 Push Tee (Copper),D10-01BL,
P13370,PUSH,1/2 Push End Stop (Copper),D10-01BL,
P13371,PUSH,3/4 Push End Stop (Copper),D10-01BL,
P13372,PUSH,1/2 Push Slip Clip Release Tool (Copper),D10-01BL,
P13373,PUSH,3/4 Push Slip Clip Release Tool (Copper),D10-01BL,
P13399,PUSH,1/2 Push Check Valve,D10-01BR,
P13552,PUSH,3/4 Push Check Valve,D10-01BR,
P14567,PUSH,3/4 Push Drop Ear Elbow (PxFIP),D10-01BR,
P18550,PEXAC,5/16 to 5/8 All SS Gear Clamp (5/16 Band & Screw) (10-Pack),D10-02BR,
P18551,PEXAC,5/16 to 7/8 All SS Gear Clamp (5/16 Band & Screw) (10-Pack),D10-02BR,
P18552,PEXAC,3/8 to 7/8 All SS Gear Clamp (1/2 Band & Screw) (10-Pack),D10-02BR,
P18553,PEXAC,3/8 to 1 All SS Gear Clamp (1/2 Band & Screw) (10-Pack),D10-02BR,
P18554,PEXAC,1/2 to 1-1/16 All SS Gear Clamp (1/2 Band & Screw) (10-Pack),D10-02BR,
P18555,PEXAC,1/2 to 1-1/4 All SS Gear Clamp (1/2 Band & Screw) (10-Pack),D10-02BR,
P18556,PEXAC,3/4 to 1-1/2 All SS Gear Clamp (1/2 Band & Screw) (10-Pack),D10-02BR,
P18557,PEXAC,3/4 to 1-3/4 All SS Gear Clamp (1/2 Band & Screw) (10-Pack),D10-02BR,
P18558,PEXAC,1 to 2 All SS Gear Clamp (1/2 Band & Screw) (10-Pack),D10-02BR,
P18559,PEXAC,1 to 2-1/4 All SS Gear Clamp (1/2 Band & Screw) (10-Pack),D10-02BR,
P18560,PEXAC,1-1/4 to 2-1/2 All SS Gear Clamp (1/2 Band & Screw) (10-Pack),D10-02BR,
P18561,PEXAC,3/4 to 2-3/4 All SS Gear Clamp (1/2 Band & Screw) (10-Pack),D10-02BR,
P18562,PEXAC,1 to 3-1/4 All SS Gear Clamp (1/2 Band & Screw) (10-Pack),D10-02BR,
P18563,PEXAC,1-1/4 to 3-1/2 All SS Gear Clamp (1/2 Band & Screw) (10-Pack),D10-02BR,
P18564,PEXAC,1-1/2 to 3-3/4 All SS Gear Clamp (1/2 Band & Screw) (10-Pack),D10-02BR,
P18565,PEXAC,2-1/4 to 4-1/2 All SS Gear Clamp (1/2 Band & Screw) (10-Pack),D10-02BR,
P18566,PEXAC,2-3/4 to 5 All SS Gear Clamp (1/2 Band & Screw) (10-Pack),D10-02BR,
P18567,PEXAC,3-3/4 to 6 All SS Gear Clamp (1/2 Band & Screw) (10-Pack),D10-02BR,
P18568,PEXAC,4-3/4 to 7 All SS Gear Clamp (1/2 Band & Screw) (10-Pack),D10-02BR,
P23302,EPEXFT,2 Brass F1960 EXPN PEX x FIP ADPT,D04-05BR,
